3096	1.5109e+05	9.6511e+06	6.9925e+08	5.4404e+10	4.4302e+12	3.7242e+14	3.2058e+16	2.8107e+18	2.5008e+20
1.63e+05	8.0637e+06	5.2569e+08	3.876e+10	3.0561e+12	2.5132e+14	2.1279e+16	1.8414e+18	1.6208e+20	0
9.0305e+06	4.5111e+08	2.9823e+10	2.2255e+12	1.7706e+14	1.4654e+16	1.2464e+18	1.0819e+20	0	0
5.2087e+08	2.62e+10	1.7489e+12	1.316e+14	1.0534e+16	8.7539e+17	7.4645e+19	0	0	0
3.1035e+10	1.5687e+12	1.0543e+14	7.981e+15	6.4146e+17	5.3435e+19	0	0	0	0
1.8995e+12	9.6352e+13	6.5072e+15	4.9478e+17	3.9878e+19	0	0	0	0	0
1.1894e+14	6.0488e+15	4.1e+17	3.1278e+19	0	0	0	0	0	0
7.5966e+15	3.8704e+17	2.6306e+19	0	0	0	0	0	0	0
4.9367e+17	2.5185e+19	0	0	0	0	0	0	0	0
3.2577e+19	0	0	0	0	0	0	0	0	0
